codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
45331,PRTKB,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,2001.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
45332,PTUDD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1987.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
45333,PTGOO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1976.0,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
45334,PRMHX,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
45390,PTUEW,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1989.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
45391,PTLUP,AVIÃO,CESSNA AIRCRAFT,P210N,P210,PISTÃO,MONOMOTOR,1812,1982.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
45392,PPMOF,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,TURBOEIXO,MONOMOTOR,1088,2000.0,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,SANTA GENOVEVA/GOIÂNIA,DECOLAGEM,SUBSTANCIAL,0
45393,PTDHU,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1967.0,INSTRUÇÃO,FRANCISCO DE ASSIS,SANTOS DUMONT,POUSO,SUBSTANCIAL,0
45396,PRJMR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2005.0,PARTICULAR,JOÃO CORREA DA ROCHA,CARAJÁS,SUBIDA,LEVE,0
45397,PTYLS,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,1997.0,MÚLTIPLA,SANTOS DUMONT,ANGRA DOS REIS,CRUZEIRO,SUBSTANCIAL,0
