codigo_ocorrencia1,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,Dia,Mes,Ano
52242,INCIDENTE,PORTO ALEGRE,RS,SBPA,05/01/2012,20:27:00,05,01,2012
45331,ACIDENTE,GUARULHOS,SP,SBGR,06/01/2012,13:44:00,06,01,2012
45333,ACIDENTE,VIAMÃO,RS,****,06/01/2012,13:00:00,06,01,2012
45401,ACIDENTE,SÃO SEBASTIÃO,SP,****,06/01/2012,17:00:00,06,01,2012
45407,ACIDENTE,SÃO SEPÉ,RS,****,06/01/2012,16:30:00,06,01,2012
52243,INCIDENTE,UBATUBA,SP,****,06/01/2012,14:30:00,06,01,2012
50713,INCIDENTE GRAVE,CAMPINAS,SP,SDAI,07/01/2012,18:15:00,07,01,2012
45334,INCIDENTE,BELÉM,PA,SBBE,08/01/2012,19:12:00,08,01,2012
45391,ACIDENTE,CONCEIÇÃO DAS ALAGOAS,MG,****,08/01/2012,16:00:00,08,01,2012
52244,INCIDENTE,UBERLÂNDIA,MG,SBUL,08/01/2012,22:13:00,08,01,2012
45332,ACIDENTE,VIAMÃO,RS,****,09/01/2012,13:30:00,09,01,2012
52245,INCIDENTE,PORTO ALEGRE,RS,SBPA,09/01/2012,13:36:00,09,01,2012
45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,11/01/2012,11:21:00,11,01,2012
45408,ACIDENTE,ELDORADO,SP,****,11/01/2012,13:45:00,11,01,2012
45447,INCIDENTE,RIO BRANCO,AC,****,13/01/2012,18:15:00,13,01,2012
45409,ACIDENTE,CÁCERES,MT,****,14/01/2012,10:00:00,14,01,2012
45693,INCIDENTE,MACAÉ,RJ,****,14/01/2012,10:30:00,14,01,2012
52246,INCIDENTE,BRASÍLIA,DF,SBBR,16/01/2012,16:47:00,16,01,2012
50714,INCIDENTE GRAVE,CAMOCIM,CE,SNWC,17/01/2012,18:25:00,17,01,2012
45399,INCIDENTE GRAVE,MUANÁ,PA,****,18/01/2012,17:35:00,18,01,2012
52247,INCIDENTE,BELO HORIZONTE,MG,SBPR,18/01/2012,13:10:00,18,01,2012
45392,ACIDENTE,BRASÍLIA,DF,****,19/01/2012,21:30:00,19,01,2012
45390,ACIDENTE,CACHOEIRA DOURADA,GO,****,20/01/2012,21:00:00,20,01,2012
45405,INCIDENTE,CUIABÁ,MT,****,20/01/2012,08:00:00,20,01,2012
45582,INCIDENTE GRAVE,RONDONÓPOLIS,MT,SWRD,20/01/2012,17:00:00,20,01,2012
45400,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,21/01/2012,14:50:00,21,01,2012
45410,ACIDENTE,BRAGANÇA PAULISTA,SP,SDVH,21/01/2012,23:30:00,21,01,2012
52241,INCIDENTE GRAVE,UBERLÂNDIA,MG,SBUL,21/01/2012,20:45:00,21,01,2012
52248,INCIDENTE,SÃO PAULO,SP,SBMT,21/01/2012,11:15:00,21,01,2012
45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,22/01/2012,20:25:00,22,01,2012
45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,22/01/2012,19:05:00,22,01,2012
52051,INCIDENTE,RECIFE,PE,SBRF,22/01/2012,23:00:00,22,01,2012
45412,ACIDENTE,TASSO FRAGOSO,MA,****,23/01/2012,09:33:00,23,01,2012
